category,product_name,price,per_unit_price
bakery,DItalianoBrizzolio Bread600 g,$3.99ea,$0.67/ 100g
bakery,Panini Roll 2 Pack107 g,$1.59ea,$1.49/ 100g
bakery,"Casa Mendosa6 Large Tortillas, Tomato Salsa384 g",$4.79ea,$1.25/ 100g
bakery,LA FOURNEE DOREE Croissant Bun300 g,$6.99ea,$2.33/ 100g
bakery,President's ChoiceTraditional Naan250 g,$3.19ea,$1.28/ 100g
bakery,FurlaniFrozen Texas Toast Garlic16x40.0 g,$4.69ea,$0.73/ 100g
bakery,"Casa Mendosa10 Medium Tortillas, Whole Wheat340 g",$4.29ea,$1.26/ 100g
bakery,ACECiabatta Piccola 800 g,$6.29ea,$0.79/ 100g
bakery,Dempster100% Whole Wheat Bread675 g,$3.89ea,$0.58/ 100g
bakery,President's ChoiceMultigrain Flatbread300 g,$2.79ea,$0.93/ 100g
bakery,President's ChoicePumpernickel Rye Loaf Bread480 g,$3.59ea,$0.75/ 100g
bakery,BaxtersVanilla Raspberry Cream6x67.0 g,$5.49ea,$1.37/ 100g
bakery,DItalianoSesame Seed Bread675 g,$3.99ea,$0.59/ 100g
bakery,All Butter Almondine Rolls255 g,$3.99ea,$1.16/ 100g
bakery,Sha ShaGinger Snap Cookies300x300.0 g,$7.49ea,$2.50/ 100g
bakery,Farmer's MarketFruitcake Light with Marzipan500 g,$8.99ea,$1.80/ 100g
bakery,CharlottesEuropean Spritz Butter Cookies430 g,$7.99ea,$1.86/ 100g
bakery,PC OrganicsOrganic 100% Whole Grain Bread709 g,$4.99ea,$0.70/ 100g
bakery,President's ChoiceTriple Chocolate Cake710 g,$17.49ea,$2.46/ 100g
bakery,Farmer's MarketStrawberry Loaf Cake390 g,$4.49ea,$1.15/ 100g
bakery,"Old Mill12"" Thin Pizza Starter Kit700 g",$4.39ea,$0.63/ 100g
bakery,Cheese Swirl Buns 4 Pack400 g,$5.79ea,$1.45/ 100g
bakery,"7 Grain Bread, Sliced570 g",$3.99ea,$0.89/ 100g
bakery,Villa Di MannoStuffing Croutons567 g,$4.59ea,$0.81/ 100g
bakery,PC Dinner Rolls  Whole Wheat12x1.0 ea,$3.79ea,$0.32/ 1ea
bakery,DimpflmeierBread Original Swedish Style Light Rye454 g,$4.49ea,$0.99/ 100g
bakery,President's ChoiceItalian Style Bread Crumbs275 g,$1.99ea,$0.72/ 100g
bakery,DimpflmeierKlosterbrot Bread454 g,$4.49ea,$0.99/ 100g
bakery,Dimpflmeier100% Rye Bread With Flaxseeds454 g,$4.29ea,$0.94/ 100g
bakery,Frontier BakeryLebanese Style Whole Wheat Pita330 g,$1.39ea,$0.42/ 100g
bakery,No NameBagel Whole Wheat510 g,$2.79ea,$0.55/ 100g
bakery,President's ChoicePumpernickel Rye Loaf Bread480 g,$3.59ea,$0.75/ 100g
bakery,President's ChoiceItalian Style Bread Crumbs275 g,$1.99ea,$0.72/ 100g
bakery,"Blueberry Pie, 8 Inch680 g",$5.99ea,$0.88/ 100g
bakery,Country HarvestOriginal Bagels450 g,$3.99ea,$0.89/ 100g
bakery,President's ChoiceMini Naan Garlic 4 Flatbreads180 g,$3.49ea,$1.94/ 100g
