category,product_name,price,per_unit_price
produce,Mini Cobb Salad155 g,$5.00ea,$3.23/ 100g
produce,GreenhouseLime Lemongrass Organic Kombucha1000 ml,$9.99ea,$1.00/ 100ml
produce,Avocado Salad238 g,$8.00ea,$3.36/ 100g
produce,Turkish Pearl Couscous Salad,$5.37(est.)ea,$21.90/ 1kg
produce,President's ChoiceMini Mixed Potatoes5 lb bag,$9.99ea,$0.44/ 100g
produce,RemedyOrganic Mango Passionfruit Kombucha700 ml,$4.99ea,$0.71/ 100ml
produce,"Mushroom Kebab, 4 pack604 g",$9.00ea,$1.49/ 100g
produce,Organic Rainbow Carrots1 bunch,$5.99ea,$5.99/ 1ea
produce,PC Blue MenuUnsalted California Pistachios 454 g,$10.99ea,$2.42/ 100g
produce,Romaine Salad Family Size1 kg,$14.00ea,$1.40/ 100g
produce,"PC OrganicsOrganic Avocados, Bag3 pack",$7.49ea,$2.50/ 1ea
produce,WellInk. Lemonade Charcoal    333 ml,$5.99ea,$1.80/ 100ml
produce,Farmer's MarketRed Grapefruit3 lb bag,$7.99ea,$0.59/ 100g
produce,President's ChoiceCocktail Tomatoes340 g,$4.99ea,$1.47/ 100g
produce,Taylor FarmsBroccoli Crunch Salad Kit360 g,$6.49ea,$1.80/ 100g
produce,Coloured Carrots454 g,$3.49ea,$0.77/ 100g
produce,Pearl Onion250 g,$2.99ea,$1.20/ 100g
produce,Premium Taco Salad326 g,$8.00ea,$2.16/ 100g
produce,"PC OrganicsOrganic Avocados, Bag3 pack",$7.49ea,$2.50/ 1ea
produce,PC OrganicsRed Seedless Grapes907 g,$9.99ea,$1.10/ 100g
produce,ReneesDill Refrigerated Dip283 g,$5.99ea,$2.12/ 100g
produce,Italian Parsley1 bunch,$2.49ea,$2.49/ 1ea
produce,Organic Raspberries 1/2 pint170 g,$5.99ea,$3.52/ 100g
produce,No NameNaturally Imperfect Avocados3 lb bag,$9.99ea,$0.73/ 100g
produce,PC OrganicsOrganic Grape Tomatoes255 g,$4.99ea,$1.96/ 100g
produce,WellInk. Lemonade Charcoal    333 ml,$5.99ea,$1.80/ 100ml
produce,Farmer's MarketRed Grapefruit3 lb bag,$7.99ea,$0.59/ 100g
produce,President's ChoiceCocktail Tomatoes340 g,$4.99ea,$1.47/ 100g
produce,Taylor FarmsBroccoli Crunch Salad Kit360 g,$6.49ea,$1.80/ 100g
produce,Coloured Carrots454 g,$3.49ea,$0.77/ 100g
produce,GreenhouseLime Herbal Kombucha340 ml,$4.99ea,$1.47/ 100ml
produce,PC OrganicsOrganic King Oyster Sliced Mushrooms200 g,$5.99ea,$3.00/ 100g
produce,White Peaches,$1.65(est.)ea,$11.00/ 1kg
produce,"Fresh Dill, Baby1 bunch",$3.99ea,$3.99/ 1ea
produce,Jalapeno Peppers,$0.55(est.)ea,$11.00/ 1kg
produce,Black Plums,$1.10(est.)ea,$11.00/ 1kg
produce,PC OrganicsPlum 907 g,$8.99ea,$0.99/ 100g
produce,ReneesRanch Refrigerated Dip283 g,$5.99ea,$2.12/ 100g
produce,Gourmet GardenItalian Herbs Stir-In Paste115 g,$5.99ea,$5.21/ 100g
produce,BolthouseBerry Boost946 ml,$6.99ea,$0.74/ 100ml
