category,brand,product,product_name,price,per_unit_price
seafood,President's Choice,Raw Butterflied Shrimp Garlic & Herb Grilling 12 Pieces Minimum,President's ChoiceRaw Butterflied Shrimp Garlic & Herb Grilling 12 Pieces Minimum340 g,$11.99ea,$3.53/ 100g
seafood,President's Choice, Atlantic Salmon Burger,President's Choice Atlantic Salmon Burger568 g,$11.99ea,$2.11/ 100g
seafood,Millionnaires,Flat Fillets of Anchovies,MillionnairesFlat Fillets of Anchovies50 g,$4.99ea,$4.99/ 50g
seafood,President's Choice,Raw Shrimp,President's ChoiceRaw Shrimp340 g,$11.99ea,$3.53/ 100g
seafood,PC Organics,Organic Atlantic Salmon Fillets,PC OrganicsOrganic Atlantic Salmon Fillets280 g,$19.99ea,$7.14/ 100g
seafood,Anchor Bay,Cooked Clam Meat,Anchor BayCooked Clam Meat340 g,$6.99ea,$2.33/ 100g
seafood,Unico,Fillets of Anchovies,UnicoFillets of Anchovies50 g,$2.49ea,$4.98/ 100g
seafood,High Liner,Catch of the Day Haddock Fillets 5,High LinerCatch of the Day Haddock Fillets 5580 g,$14.99ea,$2.58/ 100g
seafood,,"Lobster Tail, Frozen","Lobster Tail, Frozen95 g",$7.99ea,$8.41/ 100g
seafood,Laurena,Anchovy Paste,LaurenaAnchovy Paste60 g,$3.49ea,$5.82/ 100g
seafood,Good Catch,Plant Based Fishless Burger,Good CatchPlant Based Fishless Burger227 g,$12.99ea,$5.72/ 100g
seafood,,"Fresh Tilapia Fillets, Packaged","Fresh Tilapia Fillets, Packaged",$5.07(est.)ea,$25.33/ 1kg
seafood,Nanuk,Smoked Sockeye Salmon,NanukSmoked Sockeye Salmon85 g,$11.99ea,$14.11/ 100g
seafood,PC Organics,Organics Zipperback Raw Black Tiger Shrimp,PC OrganicsOrganics Zipperback Raw Black Tiger Shrimp300 g,$10.99ea,$3.66/ 100g
seafood,,Steelhead Trout Fillet,Steelhead Trout Fillet,$10.82(est.)ea,$28.64/ 1kg
seafood,President's Choice,Raw Zipperback Shrimp Grilling,President's ChoiceRaw Zipperback Shrimp Grilling454 g,$18.99ea,$4.18/ 100g
seafood,Foodfest,Sockeye Salmon,FoodfestSockeye Salmon140 g,$12.99ea,$9.28/ 100g
seafood,President's Choice,Breaded Cod Bites With Sauce,President's ChoiceBreaded Cod Bites With Sauce454 g,$11.99ea,$2.64/ 100g
seafood,Seaquest,"Calamari Rings, Uncooked","SeaquestCalamari Rings, Uncooked340 g",$7.99ea,$2.35/ 100g
seafood,Nanuk,Smoked Coho Salmon    ,NanukSmoked Coho Salmon    140 g,$13.99ea,$9.99/ 100g
seafood,PC Organics,Organics Peeled Raw Black Tiger Shrimp,PC OrganicsOrganics Peeled Raw Black Tiger Shrimp300 g,$14.99ea,$5.00/ 100g
seafood,PC Organics,Organic Zipperback Shrimp,PC OrganicsOrganic Zipperback Shrimp300 g,$13.99ea,$4.66/ 100g
seafood,,"Lobster Tail, Frozen","Lobster Tail, Frozen125 g",$9.99ea,$8.84/ 100g
seafood,Toppits,Snow Crab Legs & Claw,ToppitsSnow Crab Legs & Claw500 g,$29.99ea,$6.00/ 100g
seafood,President's Choice,Butter & Lemon Grilling Lobster Tail Skewers,President's ChoiceButter & Lemon Grilling Lobster Tail Skewers200 g,$19.99ea,$10.00/ 100g
seafood,President's Choice,Smoked Atlantic Salmon,President's ChoiceSmoked Atlantic Salmon150 g,$11.99ea,$7.99/ 100g
seafood,,"Fresh Atlantic Salmon Fillets, Skin On, Packaged, Club Size","Fresh Atlantic Salmon Fillets, Skin On, Packaged, Club Size",$29.37(est.)ea,$34.15/ 1kg
seafood,True North,Salmon Burger,True NorthSalmon Burger568 g,$12.99ea,$2.29/ 100g
seafood,,Lobster Tail 2-3 Oz” (1 Ea),Lobster Tail 2-3 Oz” (1 Ea)57 g,$6.99ea,$6.99/ 1ea
seafood,Anchor Bay,Mussel Meat,Anchor BayMussel Meat340 g,$5.99ea,$1.76/ 100g
seafood,President's Choice,Wild Atlantic Cod Fillets ,President's ChoiceWild Atlantic Cod Fillets 280 g,$7.99ea,$2.85/ 100g
seafood,President's Choice,Pacific White Shrimp Cooked Peeled Responsibly Farmed Jumbo ,President's ChoicePacific White Shrimp Cooked Peeled Responsibly Farmed Jumbo 400 g,$18.99ea,$4.75/ 100g
seafood,President's Choice,Wild Atlantic Cold Water Shrimp Cooked Peeled ,President's ChoiceWild Atlantic Cold Water Shrimp Cooked Peeled 340 g,$12.99ea,$3.82/ 100g
seafood,President's Choice,Raw Shrimp Skewers Lime & Chili Grilling ,President's ChoiceRaw Shrimp Skewers Lime & Chili Grilling 360 g,$7.99ea,$2.22/ 100g
seafood,Feature Foods,Herring Fillets in Wine Marinade,Feature FoodsHerring Fillets in Wine Marinade320 g,$5.99ea,$1.87/ 100g
seafood,President's Choice,Everything Seasoned Smoked Steelhead Salmon,President's ChoiceEverything Seasoned Smoked Steelhead Salmon150 g,$12.99ea,$8.66/ 100g
seafood,President's Choice,Raw Shrimp Skewers Orange Miso Grilling ,President's ChoiceRaw Shrimp Skewers Orange Miso Grilling 360 g,$7.99ea,$2.22/ 100g
seafood,,Haddock Fillet,Haddock Fillet,$22.02/1 kg,$22.02/ 1kg
seafood,President's Choice,Black Tiger Shrimp With Mild Cocktail Sauce Gigantico,President's ChoiceBlack Tiger Shrimp With Mild Cocktail Sauce Gigantico568 g,$27.99ea,$4.93/ 100g
seafood,President's Choice,Gluten Free Breaded Shrimp,President's ChoiceGluten Free Breaded Shrimp340 g,$10.99ea,$3.23/ 100g
seafood,Foodfest,Steelhead Smoked Salmon,FoodfestSteelhead Smoked Salmon140 g,$10.49ea,$7.49/ 100g
seafood,PC Blue Menu,Atlantic Salmon Skinless Boneless Fillets,PC Blue MenuAtlantic Salmon Skinless Boneless Fillets280 g,$14.99ea,$5.35/ 100g
seafood,President's Choice,Beer Battered Shrimp,President's ChoiceBeer Battered Shrimp300 g,$11.99ea,$4.00/ 100g
