category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,sale_valid_to
bakery,Grandmother's Bake Shoppe,Butter Tarts Plain,Grandmother's Bake ShoppeButter Tarts Plain765 g,$6.00ea,,$0.78/ 100g,False,
bakery,Frontier Bakery,Lebanese Style Whole Wheat Pita,Frontier BakeryLebanese Style Whole Wheat Pita330 g,$1.69ea,,$0.51/ 100g,False,
bakery,Crispy,Almond Pound Cake    ,CrispyAlmond Pound Cake    368 g,$3.99ea,,$1.08/ 100g,False,
bakery,United National,Namak Para Snacks,United NationalNamak Para Snacks360 g,$3.49ea,,$0.97/ 100g,False,
bakery,ACE,Olive Oil & Sea Salt Mini Crisps ,ACEOlive Oil & Sea Salt Mini Crisps 180 g,$5.39ea,,$2.99/ 100g,False,
bakery,Dels,Cherry Turnover,DelsCherry Turnover4x90.0 g,$2.99ea,,$0.83/ 100g,False,
bakery,Dels,Apple Turnover,DelsApple Turnover825 g,$5.00ea,,$0.61/ 100g,False,
bakery,President's Choice,Sourdough Loaf,President's ChoiceSourdough Loaf500 g,$5.49ea,,$1.10/ 100g,False,
bakery,President's Choice,Italian Style Bread Crumbs,President's ChoiceItalian Style Bread Crumbs275 g,$3.00ea,,$1.09/ 100g,False,
bakery,LA FOURNEE DOREE,Sesame Brioche Burger Buns,LA FOURNEE DOREESesame Brioche Burger Buns200 g,$3.99ea,,$2.00/ 100g,False,
bakery,President's Choice,Brioche Mini Rolls,President's ChoiceBrioche Mini Rolls400 g,$5.49ea,,$1.37/ 100g,False,
bakery,Baxters,Swiss Roll Chocolate,BaxtersSwiss Roll Chocolate6x67.0 g,$5.00ea,,$1.24/ 100g,False,
bakery,Dels,Apple Turnover,DelsApple Turnover825 g,$5.00ea,,$0.61/ 100g,False,
bakery,Dempster,Fresh White Bread,DempsterFresh White Bread675 g,$3.39ea,,$0.50/ 100g,False,
bakery,No Name,Sesame Seed Bagels,No NameSesame Seed Bagels510 g,$2.69ea,,$0.53/ 100g,False,
bakery,Dimpflmeier,Klosterbrot Bread,DimpflmeierKlosterbrot Bread454 g,$3.89ea,,$0.86/ 100g,False,
bakery,Wonder,Ballpark Classics Hamburger Buns Limited Edition ,WonderBallpark Classics Hamburger Buns Limited Edition 560 g,$3.89ea,,$0.69/ 100g,False,
bakery,President's Choice,Sourdough Loaf,President's ChoiceSourdough Loaf500 g,$5.49ea,,$1.10/ 100g,False,
bakery,President's Choice,Italian Style Bread Crumbs,President's ChoiceItalian Style Bread Crumbs275 g,$3.00ea,,$1.09/ 100g,False,
bakery,LA FOURNEE DOREE,Sesame Brioche Burger Buns,LA FOURNEE DOREESesame Brioche Burger Buns200 g,$3.99ea,,$2.00/ 100g,False,
bakery,President's Choice,Traditional Naan,President's ChoiceTraditional Naan250 g,$2.49ea,,$1.00/ 100g,False,
bakery,Casa Mendosa,"6 Large Tortillas, Tomato Salsa","Casa Mendosa6 Large Tortillas, Tomato Salsa384 g",$3.79ea,,$0.99/ 100g,False,
