category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
drinks,Coca-Cola,Classic,Coca-ColaClassic6x222.0 ml,$3.99c06,,$0.30/ 100ml,False,36.0,
drinks,Sparkling Ice,Orange Mango Sparkling Water,Sparkling IceOrange Mango Sparkling Water503 ml,$1.19ea,,$0.24/ 100ml,False,37.0,
drinks,Nescafe,Sweet & Creamy Iced Original Instant Coffee Mix ,NescafeSweet & Creamy Iced Original Instant Coffee Mix 256 g,$7.49ea,,$2.93/ 100g,False,38.0,
drinks,President's Choice,Gourmet West Coast Dark Roast 100% Arabica Tassimo Compatible Coffee Pods,President's ChoiceGourmet West Coast Dark Roast 100% Arabica Tassimo Compatible Coffee Pods14 ea,$9.49ea,,$0.68/ 1ea,False,39.0,
drinks,President's Choice,8-Vegetable Cocktail,President's Choice8-Vegetable Cocktail1.89 l,$3.69ea,,$0.20/ 100ml,False,40.0,
drinks,Nescafe,Rich Intense Instant Coffee,NescafeRich Intense Instant Coffee160 g,$5.49ea,,$3.43/ 100g,False,41.0,
drinks,Canada Dry,Club Soda ,Canada DryClub Soda 6x222.0 ml,$3.99pack of 6,,$0.30/ 100ml,False,42.0,
drinks,Bolthouse,Green Goodness,BolthouseGreen Goodness1.54 l,$8.49ea,,$0.55/ 100ml,False,43.0,
drinks,Gatorade,Glacier Cherry Sports Drink ,GatoradeGlacier Cherry Sports Drink 6x591.0 ml,$6.99pack of 6,,$0.20/ 100ml,False,44.0,
drinks,Dr Pepper,Soda,Dr PepperSoda6x710.0 ml,$4.99c06,,$0.12/ 100ml,False,45.0,
drinks,Nescafe,"Sweet & Creamy, Ice Java","NescafeSweet & Creamy, Ice Java470 ml",$5.99ea,,$1.27/ 100ml,False,46.0,
drinks,Tetley,Green Tea The Vert Naturellement Decafeine   ,TetleyGreen Tea The Vert Naturellement Decafeine   80 ea,$8.99ea,$7.99ea,$0.10/ 1ea,True,47.0,saleEnds 03/22
drinks,Mott's,"Clamato, The Works","Mott'sClamato, The Works1.89 l",$3.99ea,$3.49ea,$0.18/ 100ml,True,48.0,saleEnds 03/15
drinks,President's Choice,Gourmet West Coast Dark Whole Bean Coffee,President's ChoiceGourmet West Coast Dark Whole Bean Coffee907 g,$16.99ea,$13.99ea,$1.54/ 100g,True,49.0,saleEnds 03/15
drinks,President's Choice,Diet Spritz-Up Lemon-Lime Soda,President's ChoiceDiet Spritz-Up Lemon-Lime Soda2 l,$1.19ea,,$0.06/ 100ml,False,50.0,
drinks,Maxwell House,Original Roast Instant Coffee,Maxwell HouseOriginal Roast Instant Coffee150 g,$4.99ea,$3.99ea,$2.66/ 100g,True,51.0,saleEnds 03/15
