category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,sale_valid_to
seafood,President's Choice,Shrimp & Scallops Au Gratin,President's ChoiceShrimp & Scallops Au Gratin240 g,$12.99ea,,$5.41/ 100g,False,
seafood,PC Blue Menu,"Wild Sockeye Salmon Sustainably Sourced, Skin-On Boneless Fillets","PC Blue MenuWild Sockeye Salmon Sustainably Sourced, Skin-On Boneless Fillets280 g",$17.99ea,,$6.43/ 100g,False,
seafood,PC Blue Menu,Rainbow Trout Skinless Boneless Fillets,PC Blue MenuRainbow Trout Skinless Boneless Fillets280 g,$13.99ea,,$5.00/ 100g,False,
seafood,President's Choice, Atlantic Salmon Burger,President's Choice Atlantic Salmon Burger568 g,$13.99ea,,$2.46/ 100g,False,
seafood,PC Organics,Organic Atlantic Salmon Fillets,PC OrganicsOrganic Atlantic Salmon Fillets280 g,$19.99ea,,$7.14/ 100g,False,
seafood,Premier, Seafood Mix,Premier Seafood Mix340 g,$5.99ea,,$1.76/ 100g,False,
seafood,President's Choice,Raw Shrimp,President's ChoiceRaw Shrimp340 g,$12.99ea,,$3.82/ 100g,False,
seafood,President's Choice,Sea Salt and Malt Vinegar Haddock Bites,President's ChoiceSea Salt and Malt Vinegar Haddock Bites454 g,$11.99ea,$10.99ea,$2.42/ 100g,True,saleEnds 03/01
seafood,Foodfest,Steelhead Smoked Salmon,FoodfestSteelhead Smoked Salmon140 g,$12.99ea,,$9.28/ 100g,False,
seafood,Nanuk,Smoked Sockeye Salmon,NanukSmoked Sockeye Salmon85 g,$11.99ea,,$14.11/ 100g,False,
seafood,High Liner,Catch of the Day Haddock Fillets 5,High LinerCatch of the Day Haddock Fillets 5580 g,$14.99ea,,$2.58/ 100g,False,
seafood,Feature Foods,Herring Fillets in Wine Marinade,Feature FoodsHerring Fillets in Wine Marinade320 g,$5.99ea,,$1.87/ 100g,False,
seafood,,"Fresh Tilapia Fillets, Packaged","Fresh Tilapia Fillets, Packaged",$6.03(est.)ea,,$25.33/ 1kg,False,
seafood,Anchor Bay,Mussel Meat,Anchor BayMussel Meat340 g,$5.99ea,,$1.76/ 100g,False,
seafood,Seaquest,Wild Haddock Fillets Club Size ,SeaquestWild Haddock Fillets Club Size 1 kg,$17.99ea,,$1.80/ 100g,False,
seafood,Toppits,"Tempura Shrimp, Oven Ready","ToppitsTempura Shrimp, Oven Ready500 g",$11.99ea,,$2.40/ 100g,False,
seafood,,"Lobster Tail, Frozen","Lobster Tail, Frozen125 g",$10.99ea,,$9.73/ 100g,False,
seafood,,"Lobster Tail, Frozen","Lobster Tail, Frozen95 g",$8.99ea,,$9.46/ 100g,False,
seafood,PC Blue Menu,"Wild Nova Scotian Sea Scallops, Frozen","PC Blue MenuWild Nova Scotian Sea Scallops, Frozen400 g",$25.99ea,,$6.50/ 100g,False,
seafood,PC Organics,Organic Zipperback Shrimp,PC OrganicsOrganic Zipperback Shrimp300 g,$13.99ea,,$4.66/ 100g,False,
seafood,President's Choice,Black Tiger Shrimp Raw Gigantico,President's ChoiceBlack Tiger Shrimp Raw Gigantico400 g,$16.99ea,,$4.25/ 100g,False,
seafood,Foppen,Smoked Salmon Toast Trio,FoppenSmoked Salmon Toast Trio248 g,$15.99ea,,$6.45/ 100g,False,
seafood,President's Choice,Melt In The Middle Sustainably Sourced Cod Fish Cakes,President's ChoiceMelt In The Middle Sustainably Sourced Cod Fish Cakes290 g,$9.99ea,,$3.44/ 100g,False,
seafood,President's Choice,Butter & Lemon Grilling Lobster Tail Skewers,President's ChoiceButter & Lemon Grilling Lobster Tail Skewers200 g,$15.99ea,,$8.00/ 100g,False,
seafood,President's Choice,Oak Smoked Scottish Atlantic Salmon,President's ChoiceOak Smoked Scottish Atlantic Salmon150 g,$12.99ea,$7.99ea,$5.33/ 100g,True,saleEnds 03/01
seafood,Toppits,"Frozen Lobster Meat, Cooked","ToppitsFrozen Lobster Meat, Cooked150 g",$28.99ea,,$19.33/ 100g,False,
seafood,President's Choice,Beer Battered Shrimp,President's ChoiceBeer Battered Shrimp300 g,$12.99ea,,$4.33/ 100g,False,
seafood,President's Choice,Raw Zipperback Shrimp Grilling,President's ChoiceRaw Zipperback Shrimp Grilling454 g,$18.99ea,,$4.18/ 100g,False,
seafood,,Haddock Fillet,Haddock Fillet,$28.64/1 kg,,$28.64/ 1kg,False,
seafood,President's Choice,Black Tiger Shrimp With Mild Cocktail Sauce Gigantico,President's ChoiceBlack Tiger Shrimp With Mild Cocktail Sauce Gigantico568 g,$27.99ea,,$4.93/ 100g,False,
seafood,,Cod Fillets,Cod Fillets,$33.05/1 kg,,$33.05/ 1kg,False,
seafood,Seaquest,Shrimp Ring,SeaquestShrimp Ring454 g,$16.99ea,,$3.74/ 100g,False,
seafood,President's Choice,Breaded Cod Bites With Sauce,President's ChoiceBreaded Cod Bites With Sauce454 g,$13.99ea,,$3.08/ 100g,False,
seafood,President's Choice,Wild Atlantic Cod Fillets ,President's ChoiceWild Atlantic Cod Fillets 280 g,$9.99ea,,$3.57/ 100g,False,
seafood,PC Organics,Organics Peeled Raw Black Tiger Shrimp,PC OrganicsOrganics Peeled Raw Black Tiger Shrimp300 g,$14.99ea,,$5.00/ 100g,False,
seafood,Seaquest,"Calamari Rings, Uncooked","SeaquestCalamari Rings, Uncooked340 g",$9.99ea,,$2.94/ 100g,False,
seafood,PC Blue Menu,Atlantic Salmon Skinless Boneless Fillets,PC Blue MenuAtlantic Salmon Skinless Boneless Fillets280 g,$15.99ea,,$5.71/ 100g,False,
seafood,President's Choice,Gluten Free Breaded Shrimp,President's ChoiceGluten Free Breaded Shrimp340 g,$11.99ea,,$3.53/ 100g,False,
seafood,President's Choice,Pacific White Shrimp Cooked Peeled Responsibly Farmed Jumbo ,President's ChoicePacific White Shrimp Cooked Peeled Responsibly Farmed Jumbo 400 g,$18.99ea,,$4.75/ 100g,False,
seafood,PC Organics,Organics Zipperback Raw Black Tiger Shrimp,PC OrganicsOrganics Zipperback Raw Black Tiger Shrimp300 g,$10.99ea,,$3.66/ 100g,False,
seafood,Toppits,Snow Crab Legs & Claw,ToppitsSnow Crab Legs & Claw500 g,$29.99ea,,$6.00/ 100g,False,
seafood,Fortune Oysters, Live Oysters,Fortune Oysters Live Oysters360 g,$9.99ea,,$2.78/ 100g,False,
seafood,,Lobster Tail 2-3 Oz Frozen (1 Ea),Lobster Tail 2-3 Oz Frozen (1 Ea)57 g,$6.99ea,,$6.99/ 1ea,False,
seafood,Anchor Bay,Cooked Clam Meat,Anchor BayCooked Clam Meat340 g,$6.99ea,,$2.33/ 100g,False,
seafood,Seaquest,Shrimp Ring,SeaquestShrimp Ring227 g,$8.99ea,,$3.96/ 100g,False,
seafood,President's Choice,Everything Seasoned Smoked Steelhead Salmon,President's ChoiceEverything Seasoned Smoked Steelhead Salmon150 g,$12.99ea,$7.99ea,$5.33/ 100g,True,saleEnds 03/01
seafood,President's Choice,Breaded Potato and Wild Salt Cod Croquettes,President's ChoiceBreaded Potato and Wild Salt Cod Croquettes300 g,$11.99ea,,$4.00/ 100g,False,
seafood,President's Choice,Wild Atlantic Cold Water Shrimp Cooked Peeled ,President's ChoiceWild Atlantic Cold Water Shrimp Cooked Peeled 340 g,$12.99ea,$9.99ea,$2.94/ 100g,True,saleEnds 03/01
seafood,President's Choice,Smoked Atlantic Salmon,President's ChoiceSmoked Atlantic Salmon150 g,$11.99ea,$7.99ea,$5.33/ 100g,True,saleEnds 03/01
