category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale
household_items,,Miele Boost Compact CX1 Bagless Canister,Miele Boost Compact CX1 Bagless Canister,$699.99ea,,,False
household_items,,"Oreck Upright Paper Bag Type ""C""","Oreck Upright Paper Bag Type ""C""",$17.99ea,,,False
household_items,,"CanaVac CV-587 Ethos Series Central Vacuum Cleaner | 540 Airwatts Reliable Flow-Thru Motor Up To 3,500 Sq Ft | with the VPC Ultra Electric Package","CanaVac CV-587 Ethos Series Central Vacuum Cleaner | 540 Airwatts Reliable Flow-Thru Motor Up To 3,500 Sq Ft | with the VPC Ultra Electric Package",$699.00ea,,,False
household_items,,Miele DGClean 250 ml for steam combination ovens,Miele DGClean 250 ml for steam combination ovens,$18.99ea,,,False
household_items,,VPC Central Vacuum Accessory Kit | Premium Hose | SEBO ET-1 German Made Electric Power Nozzle | Telescopic Wand with Deluxe Tool Set | Handle with 3 Way Button,VPC Central Vacuum Accessory Kit | Premium Hose | SEBO ET-1 German Made Electric Power Nozzle | Telescopic Wand with Deluxe Tool Set | Handle with 3 Way Button,$599.98ea,,,False
household_items,,Johnny Vac JV420HD2 22Gal Commercial Wet/Dry vacuum With Electrical Outlet,Johnny Vac JV420HD2 22Gal Commercial Wet/Dry vacuum With Electrical Outlet,$898.99ea,,,False
household_items,,Panasonic MC3900 MCCG301 Canister & Kenmore 50570 (Pack of 5),Panasonic MC3900 MCCG301 Canister & Kenmore 50570 (Pack of 5),$19.99ea,,,False
household_items,,Wet/Dry Vacuum 10-15 U.S Gallon Replacement Standard Filter Bags,Wet/Dry Vacuum 10-15 U.S Gallon Replacement Standard Filter Bags,$25.99ea,,,False
household_items,,VPC Central Vacuum Accessory Kit | Premium Hose | Electric Power Head Nozzle with Height Adjustment | Telescopic Wand with Deluxe Tool Set,VPC Central Vacuum Accessory Kit | Premium Hose | Electric Power Head Nozzle with Height Adjustment | Telescopic Wand with Deluxe Tool Set,$369.98ea,,,False
household_items,,Water Spray Mop Washable Microfiber Clean Degerming Spray Mop,Water Spray Mop Washable Microfiber Clean Degerming Spray Mop,$39.99ea,,,False
