,Unnamed: 0,store,category,brand,product,price,sale_price,per_unit_price,sale_per_unit_price,units,is_sale,similarity,comparable_price
0,283.0,zehrs,dairy_and_eggs,Neilson,2% Milk,3.39,,0.34,,100ml,0.0,100.0,0.34
1,113.0,zehrs,dairy_and_eggs,No Name,Medium Cheddar Cheese,4.29,,2.15,,100g,0.0,66.66666666666667,2.15
2,1021.0,zehrs,bakery,Wonder,"Bread, Sliced White",3.79,,0.56,,100g,0.0,75.0,0.56
3,1648.0,zehrs,meat,,Lean Ground Beef,7.0,,1.4,,100g,0.0,66.66666666666667,1.4
4,1739.0,zehrs,meat,Zabiha Halal,Chicken Breast Strips,13.99,,1.75,,100g,0.0,66.66666666666667,1.75
