product_name,price
Delissio Thin Crispy Crust 475-550 g,$3.99 
Perrier Sparkling Water 10x250 mL Perrier & Juice Sparkling Water Fruit Beverages 6x330 mL,$6.49 
San Pellegrino Momenti Sparkling Drinks 6x330 mL Naturali Sparkling Drinks 6x330 mL,$6.49 
Nestlé Parlour Promo Packs 4-8 pk,$2.00 
"Lean Cuisine 214-248 g, Stouffer's 262-340 g or Bistro Crustini Frozen Dinners 226-256 g Selected Varieties",$2.99 
Nestlé Single Bars 36-55 g,$.88 
Nestlé Cellos 135-203 g or Nestlé Multipacks 164-200 g,$3.44 
Boost Bottles 237 mL 6 pk,$9.99 
Nescafé Rich Instant Coffee 100-170 g or Nesquik 540 g 510-700 mL,$4.99 
Carnation Hot Chocolate Envelopes 10 pk,$3.49 
Starbucks Creamers 828 mL,$6.49 
"Compliments Empire, Spartan, Cortland or Golden Delicious Apples Product of Ontario Canada Fancy 1.36 kg",$3.99 
McIntosh Apples Product of Ontario Canada Extra Fancy 3.95/kg,$1.79 /lb
Red Delicious Apples Product of Ontario Canada Extra Fancy 3.95/kg,$1.79 /lb
Honeycrisp Apples Product of Ontario Canada Extra Fancy 5.49/kg,$2.49 /lb
Marzetti Caramel Dip 227 g,$3.49 
Maynards Fun Treats 90 pk,$10.99 
Starburst Skittles 90 pk,$10.99 
Regal Rockets Candy Rolls 700 g Tootsie Roll Snack Bar 599 g Dubble Bubble Gum 495 g Candy Kidz Pik! Bag 700 g,$3.99 
Nestlé Favourites 50 pk Kinder Mini Chocolate 55 pk,$6.99 
Frito-Lay Chips or Snacks 40 pk,$7.99 
Kellogg's Halloween Rice Krispies Squares 440 g,$5.99 
Quaker Halloween Crispy Minis 864 g,$11.99 
Old Dutch Potato Chips or Snacks 24 pk,$6.29 
Compliments Value Size Potato Chips 750 g,$4.29 
Powerade Variety Team Pack 24x591 mL,$14.99 
Compliments Jelly Beans or Scotch Mints 700 g,$3.99 
Compliments Value Size Fried Potatoes 1.5 kg,$3.00 
Kellogg's Eggo Original Jumbo Waffles 1.68 kg,$11.49 
Folgers K-Cups 48 pk,$24.99 
Compliments Baby Wipes 9 pk,$18.99 
Old Dutch Laundry Detergent 4 L,$5.99 
Verka Brown Sugar 4.54 kg,$9.99 
Rubicon Juice 1 L Selected Varieties,$1.99 
Red Mangoes Product of Brazil,$1.29 
Coconut Product of Costa Rica,$1.49 ea
Pomegranates Product of USA,$2.49 ea
Gelda Para 400g,$3.49 
Mirch Masala Plain Paratha Family Pack 2 kg,$7.99 
Deluxe Biscuits or Cookies 1 kg Selected Varieties,$4.49 
KFI Sauces 375 mL Selected Varieties,$3.99 
Brar's Samosas 624-630 g,$4.99 
Horlicks Original or Chocolate 500 g,$4.99 
,$4.99 
,$4.99 
