product_name,price,price2,units
"PAMPERS DIAPERS, TRAINING PANTS AND WIPES",$2.99 ,2.99,
"FRUITOPIA, NESTEA OR PEACE TEA BEVERAGES, 1.75 L",$2.49 ,2.49,
"PC® TEA OR LEMONADE 1.54 L OR ASTRO YOGURT, 500-750 g",2/$6.50 less than 2 $3.99 ea.,3.99,l
"PC® BLUE MENU FREE RUN WHITE EGGS, 12's",$5.49 ,5.49,
"BECEL MARGARINE, 637-850 g",$6.99 ,6.99,
"CRACKER BARREL CHEESE SLICES, 200-240 g FETA TUBS 180 G AMOOZA! TWISTS 228 G",$5.49 ,5.49,
"CRACKER BARREL CHEESE BARS, 400 g",$7.49 ,7.49,
"FEBREZE CAR CLIPS 2'S, FABRIC REFRESHER SPRAY 800 ML OR FABRIC REFRESHER SPRAY UNSTOPPABLES 500 ML",$5.49 ,5.49,
"BALZAC'S WHOLE BEAN 340 G, GROUND COFFEE MUSKOKA CAN 300 G, ROAST AND GROUND OR WHOLE BEAN, 400/454 g",$10.99 ,10.99,
"PEPPERIDGE FARM GOLDFISH CRACKERS, 156-227/6x28 g",2/$6.00 less than 2 $3.99 ea.,3.99,l
"TETLEY OR CELESTIAL TEA, 20/24's",$3.99 ,3.99,
"PC® THE DECADENT® CHOCOLATE CHIP COOKIE, 500 G",$5.49 ,5.49,
"GOOD TO GO KETO BARS, 40 g",2/$4.00 less than 2 $2.69 ea.,2.69,l
"TIDE LAUNDRY DETERGENT 4.55 L, TIDE PODS 61-81'S OR POWER PODS 48'S",$22.99 ,22.99,
"LIQUID PLUMR DRAIN CLEANER, 502-946 mL",$5.99 ,5.99,
GLAD CLING WRAP 60M OR SANDWICH BAGS 50'S,$1.29 ,1.29,
"WHISKAS TEMPTATIONS, 454 g",$6.99 ,6.99,
PUREX 4.08-4.43 L OR PERSIL 2.21 L/38-40'S LAUNDRY DETERGENT,$10.99 ,10.99,
FLEECY FABRIC SOFTENER 3.5 L OR SHEETS 200'S,$9.99 ,9.99,
"SUNLIGHT LAUNDRY DETERGENT 4 L, SNUGGLE FABRIC 2.8-3.41 L OR SHEETS 200'S",$12.99 ,12.99,
PINESOL CLEANER 1.41 L OR CLOROX BLEACH 2.4 L,$3.49 ,3.49,
BONA MICROFIBER FLOOR MOP + DUSTER REFILL,$13.49 ,13.49,
"FEBREZE CAR CLIPS 2'S, FABRIC REFRESHER SPRAY 800 ML OR FABRIC REFRESHER SPRAY UNSTOPPABLES 500 ML",$5.49 ,5.49,
"DAWN, 431/473 mL DISHWASHING LIQUID, MR. CLEAN MAGIC ERASER PADS, 2's OR LIQUID CLEANER 828 mL",$2.29 ,2.29,
"SWIFFER DRY OR WET SWEEPER CLOTHS 12/16's, DUSTERS KIT 5'S DUSTERS 360 kit 2's",$9.99 ,9.99,
"GLAD OUTDOOR WASTE BAGS, 20-40's",$10.99 ,10.99,
"AIR WICK 1+1 KITS, 2/20 mL",$4.99 ,4.99,
"SCOTCH BRITE PADS, BRUSHES, EACH OR ALCAN FOIL 50 FT",$3.99 ,3.99,
VILEDA SUPER TWIST MOP XL OR OSKAR BROOM WITH DUSTPAN,$10.99 ,10.99,
"METHOD DISH SOAP, 532 mL OR CLEANERS, 828 mL OR ALLENS VINEGAR CLEANERS, 950 mL",$3.99 ,3.99,
"VIM CLEANERS 500 ML-1 L, REFILL ECONO-PACK 70 ML OR SUNLIGHT DISH WASHING LIQUID 800 ML",$3.29 ,3.29,
"WEIMAN CLEANERS, 355-946 mL",$6.99 ,6.99,
"PALMOLIVE LIQUID DISH SOAP, 591/828 ML",2/$5.50 less than 2 $3.49 ea.,3.49,l
"LYSOL TOILET BOWL CLEANERS OR ALL PURPOSE CLEANERS, 650 mL-1.2 L, 39-80 g",2/$8.00 less than 2 $4.49 ea.,4.49,l
"ALLENS VINEGAR CLEANERS, 2.5 L",$2.99 ,2.99,
"ZIPLOC BAGS, MEGA PACK, 60-270's",$9.99 ,9.99,
"LYSOL LAUNDRY DETERGENT, 1.2 L, RESOLVE IN WASH POWDER, 625 g OR BOTANICAL ORIGIN FABRIC SOFTENER, 960 mL",$7.99 ,7.99,
"SPREAD'EM KITCHEN PLANT BASED CHEESE SPREAD, 200 g",$9.99 ,9.99,
"GO BIO! ORGANIC BOUILLON CUBES, 54/66 g",3/$9.99 less than 3 $3.99 ea.,3.99,l
"RIZOPIA RICE PASTA, 454 g",2/$4.50 less than 2 $2.99 ea.,2.99,l
"NAKED & SAUCY SOY FREE SAUCE, 296 mL",$7.99 ,7.99,
"KICKING HORSE GROUND COFFEE, 284 g",$8.99 ,8.99,
"BRAGG APPLE CIDER VINEGAR, 473 mL",$4.49 ,4.49,
"OZERY SUPER SEED CRUNCH SNACK, 150 g",$4.99 ,4.99,
"KIJU ORGANIC JUICE, 4x200 mL/1 L",2/$5.00 less than 2 $2.99 ea.,2.99,l
"SENSIBLE PORTIONS VEGGIE STRAWS CHIPS OR CANISTERS, 120-142 G OR HARDBITE POTATOES HARDBITE POTATOES CHIPS, 150 G",2/$5.00 less than 2 $2.99 ea.,2.99,l
"GENUINE HEALTH ADVANCED GUT HEALTH PROBIOTIC, 20/30's",2/$5.00 less than 2 $2.99 ea.,2.99,l
"ECO-MAX LAUNDRY WASH, 3 L",$11.99 ,11.99,
NATURE'S WAY COLD & FLU OR OMEGA 3,$11.99 ,11.99,
"KIND BARS, 40 g bars",2/$4.00 less than 2 $2.49 ea.,2.49,l
"KIND BARS, 40 g X 12 bars",$17.99 ,17.99,
"ANGIE'S BOOMCHICKAPOP® PUFFS, 170 G",$3.99 ,3.99,
"ANGIE'S BOOMCHICKAPOP PUFFS, 170 g",$3.99 ,3.99,
"KIND FUEL, 50 g bars",2/$5.00 less than 2 $2.99 ea.,2.99,l
"KIND FUEL, 50 g x 12 bars",$24.99 ,24.99,
"GARDEIN® ENTREES, 255-390 g",from$4.99 ,4.99,m
DAIYA GLUTEN-FREE PIZZAS,$7.49 ,7.49,
,$7.49 ,7.49,
L'ORÉAL PARIS HAIR EXPERTISE OR GARNIER WHOLE BLENDS HAIR CARE,$3.99 ,3.99,
"SOFTSOAP OR DIAL LIQUID, 162/221 ML OR SPEED STICK BASE, 45/70 G OR PREMIUM ANTIPERSPIRANT, 45/85 G",$1.99 ,1.99,
"Huggies diapers, wipes or Goodnites training pants",$1.99 ,1.99,
"AVEENO, MAUI OR NUTRISSE HAIR CARE",$6.99 ,6.99,
"CREST VIVID WHITENING STRIPS, ORAL-B VITALITY POWER BRUSH OR ORAL-B POWER REFILL",$19.99 ,19.99,
"ALWAYS PADS, 28-48's, LINERS, 96-162's, TAMPAX PEARL, 32-40's, BASE 31-34's, U BY KOTEX TAMPONS, 31-34's, PADS, 26-34's OR LINERS, 64-100's",$7.99 ,7.99,
"SENSODYNE RAPID RELIEF OR REPAIR OR PROTECT TOOTHPASTE, POLIDENT TABLETS 84-96'S, COLGATE TOTAL TOOTHPASTE 3-PACK OR BATTERY TOOTHBRUSH, CREST PRO HEALTH OR SCOPE MOUTHWASH, CREST GUM DETOXIFY TOOTHPASTE",$7.49 ,7.49,
"CLEAR CARE, 2X360 mL, OPTI-FREE, 2x300 mL OR SYSTANE EYE DROPS, 15-20 mL",$7.49 ,7.49,
OLAY REGENERIST VITAMIN C+ PEPTIDE 24 HYDRATING MOISTURIZER OR L'ORÉAL REVITALIFT TRIPLE POWER SERUMS,$7.49 ,7.49,
"LIFE BRAND® BODY WASH, 710 mL OR LIQUID HAND SOAP REFILL, 950 mL, LEVER, 4X89 g BAR SOAP OR DIAL BODY WASH, 473 mL",$2.99 ,2.99,
BAND-AID CHILDREN OR PREMIUM BANDAGES OR POLYSPORIN OINTMENT,$2.99 ,2.99,
"ONE A DAY ADULT MULTIVITAMINS 60/90'S, FLINTSTONES CHILDREN 60/90'S,",$10.99 ,10.99,
"NESTLÉ GOOD START READY TO FEED BABY FORMULA, 16x250 mL OR NESTLÉ GOOD START BABY FORMULA POWDER, 1.02 kg",$48.99 ,48.99,
"HUGGIES OR PAMPERS BABY WIPES, 336-720'S",$18.99 ,18.99,
"PC® TRAINING PANTS, 33-44's",$15.99 ,15.99,
"PAMPERS EASY UPS TRAINING PANTS, 86-112'S",$33.99 ,33.99,
"KINDER CHOCOLATES, 80-200 G",$5.99 ,5.99,
"FERRERO CHOCOLATE BARS, 90 G",2/$6.00 less than 2 $3.49 ea.,3.49,l
"FERRERO GOLDEN GALLERY OR COLLECTIONS ADVENT CALENDAR, 259-350 g",$15.99 ,15.99,
"FERRERO ROCHER JEWEL BOX, COLLECTIONS OR GOLDEN GALLERY, 120-200 g",$7.99 ,7.99,
"HERSHEY'S KISSES, 180 g",$3.99 ,3.99,
"HERSHEY'S HOLIDAY PACKAGED CANDY, 161 - 227 g",$3.99 ,3.99,
"REESE'S, HERSHEY'S KISSES, HERSHEY'S COOKIES 'N' CREME ADVENT CALENDERS, 208 - 222 g",$9.99 ,9.99,
"POT OF GOLD, 247 - 250 G",$5.99 ,5.99,
"KITKAT® CHIMNEY, (130 G), SMARTIES® MINI ORNAMENTS, (150 G)",$5.49 ,5.49,
"TURTLES® ORIGINAL, 350 g or TURTLES® ASSORTMENT, 300 g",$9.99 ,9.99,
AFTER EIGHT® ADVENT CALENDAR (199 g) KITKAT® ADVENT CALENDAR (208 g),$9.99 ,9.99,
"QUALITY STREET® TIN, 725 g",$17.49 ,17.49,
"LINDT LINDOR CORNETS, 600 g",$18.49 ,18.49,
"LINDT LINDOR BOXES, 156 g",$8.99 ,8.99,
"LINDT LINDOR MINI BALLS BAGS, 100 g",$3.49 ,3.49,
"LINDT LINDOR BAGS, 150 G",2/$13.00 less than 2 $7.99 ea.,7.99,l
"LINDT SWISS LUXURY, 195 G",$14.49 ,14.49,
CASA MENDOSA TORTILLA 6'S,$14.49 ,14.49,
"CASA MENDOSA TORTILLA, 6's",$14.49 ,14.49,
"CASA MENDOSA TORTILLA, 10'S",$14.49 ,14.49,
"CASA MENDOSA TORTILLA, 10's",$14.49 ,14.49,
"HELLMANN'S MAYONNAISE, (710ML/750ML/890 mL), KNORR ONION SOUP MIX, (113 g) AND GAY LEA SOUR CREAM, (500 mL)",$14.49 ,14.49,
"MAPLE LODGE FARMS ULTIMATE CHICKEN SAUSAGES, 500 G",$5.99 ,5.99,
"OLIVIERI GNOCCHI, 280 - 350 g",from$6.19 ,6.19,m
"OLIVIERI GNOCCHI, 520 - 700 G",from$9.99 ,9.99,m
"FRESH FILLED PASTA, 500 - 700 g",from$8.69 ,8.69,m
"PASTA, 250 G",$6.99 ,6.99,
"NANDO'S PERI PERI SAUCE, 250 mL",$5.49 ,5.49,
"NANDO'S PERINAISE, 450 ML",$4.49 ,4.49,
"TABASCO PEPPER SAUCE, 57 mL",$3.49 ,3.49,
"MAILLE GHERKINS, 375 ML",$4.99 ,4.99,
"CATTLEBOYZ SAUCE, 490 mL",$6.99 ,6.99,
"DELVERDE PASTA, 250-450 g",$1.99 ,1.99,
"HERSHEY REGULAR PACKAGED CANDY POUCHES, INCLUDING HERSHEY'S, REESE'S, OH HENRY!, BROOKSIDE, BRIDGE MIXTURE, SKOR, YORK, (165 - 290 G)",from$4.00 ,4.00,m
"BAILEYS ORIGINAL ALCOHOL BAG, 120 G",$9.99 ,9.99,
"BAILEYS ORIGINAL OR HAZELNUT ALCOHOL TUBE, 200 G",$5.99 ,5.99,
"BEN & JERRY'S, 473 ML",2/$11.00 less than 2 $6.99 ea.,6.99,l
"MAGNUM BARS, 3'S OR MINI'S, 4'S",2/$11.00 less than 2 $6.99 ea.,6.99,l
"MCCAFÉ® PREMIUM ROAST K-CUP® PODS, 12'S",2/$22.00 less than 2 $12.99 ea.,12.99,l
"MCCAFÉ® PREMIUM ROAST DECAF K-CUP® PODS, 12'S",2/$22.00 less than 2 $12.99 ea.,12.99,l
"MCCAFÉ® ESPRESSO K-CUP® PODS, 12'S",2/$22.00 less than 2 $12.99 ea.,12.99,l
"WALL'S, 6'S AND 1.41 L",$5.99 ,5.99,
"BREYERS CREAMERY STYLE OR CONFECTION, 1.66 L, BREYERS CANADIAN DESSERTS, 1.41 L",$4.99 ,4.99,
"KRAFT DINNER MACARONI & CHEESE SNACK CUPS, 58 G",4/$10.00 less than 4 $2.79 ea.,2.79,l
"CASHMERE® REGULAR TRIPLE ROLL, 30=90",$24.99 ,24.99,
"CASHMERE® REGULAR OR ULTRA TRIPLE, ROLL 24=72",$19.99 ,19.99,
"CLASSICO PASTA SAUCE, 410 – 650 ML",3/$12.00 less than 3 $4.99 ea.,4.99,l
"KRAFT DINNER MACARONI & CHEESE, 225 g",3/$4.98 less than 3 $1.99 ea.,1.99,l
"LIBERTÉ MÉDITERRANÉE®, 500 G",2/$7.50 less than 2 $3.99 ea.,3.99,l
"LIBERTÉ GREEK® OR LIBERTÉ MÉDITERRANÉE®, 4 X 100 G",2/$8.00 less than 2 $4.79 ea.,4.79,l
"YOPLAIT® TUBES®, 8 X 56 G, YOPLAIT® MINIGO®, 6 X 60 G OR YOPLAIT® SOURCE®, 630 G",3/$10.50 less than 3 $4.49 ea.,4.49,l
"NATURE VALLEY SWEET AND SALTY GRANOLA BARS, 130-230 g",2/$7.00 less than 2 $4.49 ea.,4.49,l
"SELECT GENERAL MILLS™ RETAIL SIZE CEREALS, 300-430 g",2/$8.00 less than 2 $4.99 ea.,4.99,l
"ANNIE'S MACARONI AND CHEESE, 170 G",3/$7.50 less than 3 $3.49 ea.,3.49,l
"IÖGO NANÖ TUBES, 8 X 60 G, YOGURT",$3.29 ,3.29,
"IÖGO NANÖ DRINKABLE 900 ML, YOGURT",$4.99 ,4.99,
"IÖGO CREAMY,2 KG, YOGURT",$8.49 ,8.49,
"ULTRAPUR ULTRAFILTERED MILK, 1.5 L",$4.99 ,4.99,
"IÖGO CANADIAN HARVEST, CREAMY OR LACTOSE-FREE 650 G, YOGURT",$3.29 ,3.29,
"IÖGO CREAMY OR 0 %, 16 X 100 G, YOGURT",$5.99 ,5.99,
"OLYMPIC ORGANIC OR KREMA, 650 G, YOGURT",$4.99 ,4.99,
