category,product_name,price,per_unit_price
produce,President's ChoiceSpring Mix0.142 kg,$4.99ea,$3.51/ 100g
produce,MarzettiMarzetti Chocolate Dip 250g250 g,$5.49ea,$2.20/ 100g
produce,SunrichApple Slices280 g,$4.99ea,$1.78/ 100g
produce,GreenhouseKombucha Ultraviolet Organic    340 ml,$4.99ea,$1.47/ 100ml
produce,Golden Figs227 g,$4.99ea,$2.20/ 100g
produce,PC OrganicsOrganic Bartlett Pears,$1.76(est.)ea,$8.80/ 1kg
produce,President's ChoiceLive Red Leaf Lettuce - 1 Unit350 g,$3.99ea,$3.99/ 1ea
produce,Organic Grapefruit907 ea,$6.99ea,$0.77/ 100g
produce,President's ChoiceMint28 g,$2.50ea,
produce,President's ChoiceLemon Seedless2 lb bag,$5.99ea,$0.66/ 100g
produce,PC OrganicsOrganic Cauliflower1 ea,$5.99ea,$5.99/ 1ea
produce,Farmer's MarketCarrots4.54 kg,$8.99ea,$0.20/ 100g
produce,Farmer's MarketGranny Smith Apples4 lb bag,$8.99ea,$0.50/ 100g
produce,PC OrganicsOrganic Thyme20 g,$2.99ea,
produce,"ParamountPistachios, Salt & Pepper200 g",$5.99ea,$3.00/ 100g
produce,PC OrganicsOrganic Tomato On The Vine Red (1 Bunch),$6.34(est.)ea,$8.80/ 1kg
produce,RemedyOrganic Mango Passionfruit Kombucha700 ml,$4.99ea,$0.71/ 100ml
produce,"Mushroom Kebab, 4 pack604 g",$9.00ea,$1.49/ 100g
produce,PC Blue MenuUnsalted California Pistachios 454 g,$9.99ea,$2.20/ 100g
produce,Romaine Salad Family Size1 kg,$14.00ea,$1.40/ 100g
produce,"PC OrganicsOrganic Avocados, Bag3 pack",$6.99ea,$2.33/ 1ea
produce,WellInk. Lemonade Charcoal    333 ml,$5.99ea,$1.80/ 100ml
produce,Farmer's MarketRed Grapefruit3 lb bag,$6.99ea,$0.51/ 100g
produce,French Beans400 g,$4.99ea,$1.25/ 100g
produce,President's ChoiceCocktail Tomatoes340 g,$4.99ea,$1.47/ 100g
produce,Taylor FarmsBroccoli Crunch Salad Kit360 g,$6.49ea,$1.80/ 100g
produce,Coloured Carrots454 g,$3.49ea,$0.77/ 100g
produce,No NameNaturally Imperfect Avocados3 lb bag,$8.99ea,$0.66/ 100g
produce,President's ChoiceThyme 28 g,$2.50ea,
produce,Organic Cantaloupe1 ea,$5.99ea,$5.99/ 1ea
produce,President's ChoiceBroccoli Slaw340 g,$3.99ea,$1.17/ 100g
