category,brand,product,product_name,price,per_unit_price
produce,,Chinese Bitter Melons,Chinese Bitter Melons,$1.45(est.)ea,$6.59/ 1kg
produce,POM Wonderful,100% Pomegranate Juice,POM Wonderful100% Pomegranate Juice1.4 l,$9.99ea,$0.71/ 100ml
produce,,"Fresh Dill, Baby","Fresh Dill, Baby1 bunch",$2.99ea,$2.99/ 1ea
produce,No Name,Brown Mushrooms,No NameBrown Mushrooms680 g,$4.00ea,$0.59/ 100g
produce,Gourmet Garden,Chunky Garlic Stir-In Paste,Gourmet GardenChunky Garlic Stir-In Paste115 g,$4.99ea,$4.34/ 100g
produce,Bolthouse,Blue Goodness,BolthouseBlue Goodness946 ml,$6.49ea,$0.69/ 100ml
produce,President's Choice,Red Grapes 2lb,President's ChoiceRed Grapes 2lb907 g,$6.99ea,$0.77/ 100g
produce,No Name,Naturally Imperfect English Cucumber 3lb Bag,No NameNaturally Imperfect English Cucumber 3lb Bag1.36 kg,$5.00ea,$0.37/ 100g
produce,Bolthouse,"Juice, 100% Pomegranate","BolthouseJuice, 100% Pomegranate1.54 l",$10.99ea,$0.71/ 100ml
produce,,Fuyu Persimmon,Fuyu Persimmon1 ea,$0.75ea,$0.75/ 1ea
produce,,Kiwis,Kiwis1 ea,$0.75ea,$0.75/ 1ea
produce,PC Organics,Organic Garlic,PC OrganicsOrganic Garlic115 g,$2.99ea,$2.60/ 100g
produce,PC Organics,"Organic Avocados, Bag","PC OrganicsOrganic Avocados, Bag3 pack",$4.99ea,$1.66/ 1ea
produce,No Name,Naturally Imperfect Avocados,No NameNaturally Imperfect Avocados3 lb bag,$7.00ea,$0.51/ 100g
produce,,Organic Raspberries 1/2 pint,Organic Raspberries 1/2 pint170 g,$4.99ea,$2.94/ 100g
produce,Paramount,"Pistachios, Salt & Pepper","ParamountPistachios, Salt & Pepper200 g",$5.99ea,$3.00/ 100g
produce,PC Organics,Organic Grape Tomatoes,PC OrganicsOrganic Grape Tomatoes255 g,$3.99ea,$1.56/ 100g
produce,,Papaya,Papaya,$3.69(est.)ea,$2.84/ 1kg
produce,,LoBok (Daikon Radish),LoBok (Daikon Radish),$2.05(est.)ea,$2.18/ 1kg
produce,,Pearl Onion,Pearl Onion250 g,$2.49ea,$1.00/ 100g
produce,President's Choice,Bay Leaf,President's ChoiceBay Leaf28 g,$2.49ea,
produce,,Black Plums,Black Plums,$0.44(est.)ea,$4.39/ 1kg
produce,Remedy,Organic Mango Passionfruit Kombucha,RemedyOrganic Mango Passionfruit Kombucha700 ml,$4.99ea,$0.71/ 100ml
produce,Marzetti,"Veggie Dip, Ranch","MarzettiVeggie Dip, Ranch340 g",$4.99ea,$1.47/ 100g
produce,President's Choice,Whole Cremini Mushrooms,President's ChoiceWhole Cremini Mushrooms454 g,$3.99ea,$0.88/ 100g
produce,Taylor Farms,Broccoli Crunch Salad Kit,Taylor FarmsBroccoli Crunch Salad Kit360 g,$5.49ea,$1.53/ 100g
produce,PC Organics,Organic Baby King Oyster Mushrooms,PC OrganicsOrganic Baby King Oyster Mushrooms200 g,$4.99ea,$2.50/ 100g
produce,,French Beans,French Beans400 g,$4.99ea,$1.25/ 100g
produce,No Name,Mini Cucumber,No NameMini Cucumber680 g,$4.00ea,$0.59/ 100g
produce,Bolthouse,Green Goodness,BolthouseGreen Goodness1.54 l,$7.99ea,$0.52/ 100ml
produce,,Yu Choy Sum,Yu Choy Sum,$4.42(est.)ea,$6.59/ 1kg
produce,,Pummelos,Pummelos1 lb bag,$2.99ea,$2.99/ 1ea
