category,brand,product_text,product_name,price_text,sale_price,per_unit_price_text,is_sale,ranking,sale_valid_to
snacks,President's Choice,Teriyaki Beef Jerky ,President's ChoiceTeriyaki Beef Jerky 80 g,$5.99ea,,$7.49/ 100g,False,33.0,
snacks,Tremarie, Milk Chocolate And Almonds Cream Filled Wafers,Tremarie Milk Chocolate And Almonds Cream Filled Wafers140 g,$3.49ea,$3.29ea,$2.35/ 100g,True,34.0,saleEnds 03/22
snacks,Nestle,Kitkat Roasted Almond Wafer Bar,NestleKitkat Roasted Almond Wafer Bar120 g,$2.99ea,,$2.49/ 100g,False,35.0,
snacks,Hershey's,Eggies Dark Chocolate,Hershey'sEggies Dark Chocolate200 g,$5.49ea,,$2.75/ 100g,False,36.0,
snacks,Dare,Breton Cheddar Bites,DareBreton Cheddar Bites150 g,$3.89ea,,$2.59/ 100g,False,37.0,
snacks,PC Black Label,Cranberry and Fennel Artisan Crisps,PC Black LabelCranberry and Fennel Artisan Crisps150 g,$6.49ea,,$4.33/ 100g,False,38.0,
snacks,Kambly,"Biscuits, Caprice","KamblyBiscuits, Caprice100 g",$5.99ea,,$5.99/ 100g,False,39.0,
snacks,Haitai,Honey Butter Chip Sweet Honey Flavour,HaitaiHoney Butter Chip Sweet Honey Flavour60 g,$3.29ea,,$5.48/ 100g,False,40.0,
snacks,Orville,"Popcorn, Buttery Light","OrvillePopcorn, Buttery Light6x76.0 g",$5.99ea,,$1.31/ 100g,False,41.0,
snacks,Nong Shim,Onion Rings,Nong ShimOnion Rings50 g,$1.59ea,,$3.18/ 100g,False,42.0,
snacks,Lindt,"Kissing GOLD BUNNY, Milk Chocolate Box","LindtKissing GOLD BUNNY, Milk Chocolate Box100 g",$9.99ea,,$9.99/ 100g,False,43.0,
snacks,Planters,Mixed Nuts Deluxe Salted   ,PlantersMixed Nuts Deluxe Salted   200 g,$4.49ea,,$2.25/ 100g,False,44.0,
snacks,Zweet,Ropes Rainbow Sour    ,ZweetRopes Rainbow Sour    285 g,$4.29ea,,$1.51/ 100g,False,45.0,
snacks,Kosa,Sunflower Seeds Spiced Flavor,KosaSunflower Seeds Spiced Flavor260 g,$2.79ea,,$1.07/ 100g,False,46.0,
snacks,Handfuel,Sweet Chili Mixed Nuts,HandfuelSweet Chili Mixed Nuts150 g,$6.99ea,,$4.66/ 100g,False,47.0,
snacks,Aero,Hide Me Eggs Candy,AeroHide Me Eggs Candy100 g,$7.49ea,,$7.49/ 100g,False,48.0,
snacks,Lindt,"Kissing GOLD BUNNY, Milk Chocolate Box","LindtKissing GOLD BUNNY, Milk Chocolate Box100 g",$9.99ea,,$9.99/ 100g,False,49.0,
snacks,Planters,Mixed Nuts Deluxe Salted   ,PlantersMixed Nuts Deluxe Salted   200 g,$4.49ea,,$2.25/ 100g,False,50.0,
snacks,Zweet,Ropes Rainbow Sour    ,ZweetRopes Rainbow Sour    285 g,$4.29ea,,$1.51/ 100g,False,51.0,
snacks,Kosa,Sunflower Seeds Spiced Flavor,KosaSunflower Seeds Spiced Flavor260 g,$2.79ea,,$1.07/ 100g,False,52.0,
snacks,Handfuel,Sweet Chili Mixed Nuts,HandfuelSweet Chili Mixed Nuts150 g,$6.99ea,,$4.66/ 100g,False,53.0,
snacks,Aero,Hide Me Eggs Candy,AeroHide Me Eggs Candy100 g,$7.49ea,,$7.49/ 100g,False,54.0,
snacks,Shufra,Premier Chocolate Milk,ShufraPremier Chocolate Milk100 g,$2.29ea,,$2.29/ 100g,False,55.0,
snacks,Papadopoulos,"Biscuits, Petit-Beurre    ","PapadopoulosBiscuits, Petit-Beurre    225 g",$1.99ea,,$0.88/ 100g,False,56.0,
snacks,President's Choice,Chia & Quinoa Baked Pita Crackers,President's ChoiceChia & Quinoa Baked Pita Crackers142 g,$3.79ea,,$2.67/ 100g,False,57.0,
