merchant,brand,name,description,current_price,pre_price_text,price_text,sku,flyer_valid_from,flyer_valid_to,image_url
FreshCo,,"Compliments Yelow, White Red or Medley Mini Potatoes 680 g Product of Ontario Canada No. 1",,3.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400023/c52bc420-a31a-11ed-b88d-0edc53c25ee6/x_large
FreshCo,,Taylor Farms Chopped Salad Kit 316-377g Assorted,,4.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286016690/1675792698/extra_large.jpg
FreshCo,,Fresh Chicken Leg Quarters Back Attached,,10.0,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400023/c6e44ecc-a31a-11ed-b88d-0edc53c25ee6/x_large
FreshCo,,Fresh Tilapia Fillets 19.82/kg,,8.99,,/lb,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400023/c6e5db3e-a31a-11ed-b88d-0edc53c25ee6/x_large
FreshCo,,Carver's Choice Bacon 375 g Schneiders Red Hots 375 g,,2.99,,with Scene+ Card,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286016693/1675792701/extra_large.jpg
FreshCo,,Green Ocean Salmon Fillets Frozen 26.43/kg,,11.99,,/lb,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400023/c6a392e2-a31a-11ed-b88d-0edc53c25ee6/x_large
FreshCo,,High Liner Signature or Pan-SEAR 500-750 g,,10.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400023/c35155fc-a31a-11ed-b88d-0edc53c25ee6/x_large
FreshCo,,Asian Inspirations Entrees Frozen 400 g Gold Label Naturally Smokeys Smoked Sausage 375 g,,4.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400023/c56d7690-a31a-11ed-b88d-0edc53c25ee6/x_large
FreshCo,,"Piller's Mild, Hot Turkey or Simply Free Meat Sticks 300-500 g",,6.99,,with Scene+ Card,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400023/c62719d8-a31a-11ed-b88d-0edc53c25ee6/x_large
FreshCo,,Villaggio Bread 570-675 g,,6.0,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400023/c3833f54-a31a-11ed-b88d-0edc53c25ee6/x_large
FreshCo,,Dempster's English Muffins 6 pk Compliments Bagels 6 pk,,1.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400023/c3bba2cc-a31a-11ed-b88d-0edc53c25ee6/x_large
FreshCo,,Kaukauna Cheese Ball 170 g Boursin 150 g Brandt Kolbassa Coil 250 g or Polish Coil 300 g,,4.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400023/c3ef0ed2-a31a-11ed-b88d-0edc53c25ee6/x_large
FreshCo,,Maple Leaf Natural Selections Deli Sliced Meat 175g,,5.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286016701/1675792708/extra_large.jpg
FreshCo,,Chinese Eggplant Product of Honduras 3.95/kg,,1.79,,/lb,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400023/c5d1b68c-a31a-11ed-b88d-0edc53c25ee6/x_large
FreshCo,,Garlic 5 pk Product of China,,1.29,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400023/c5e30a90-a31a-11ed-b88d-0edc53c25ee6/x_large
FreshCo,,Double Fresh Guaranteed,,,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286280420/1675792712/extra_large.jpg
FreshCo,,Mina Supreme Crunch Frozen 600-720g,,9.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c4fd9834-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Minute Maid Orange Juice 1.75 L Five Alive Beverage 1.75 L,,2.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c17766ae-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Philadelphia Cream Cheese 227-250g,,3.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c1b082f4-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Natrel Plus 2 L,,5.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c1b21164-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Fairlife Milk 1.5 L,,4.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c1ec4eec-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,We Price Match,,,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_items/286280421/1675792713/extra_large.jpg
FreshCo,,Kraft Dinner 156-225 g,,1.25,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c1f01af4-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Crave Frozen Dinners 283-340 g,,2.99,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c2292b82-a31a-11ed-bff8-0e1ba86a8db4/x_large
FreshCo,,Snack Pack Gels 99g or Pudding 396 g Selected Varieties,,1.69,,,,2023-02-09T00:00:00-05:00,2023-02-15T23:59:59-05:00,http://f.wishabi.net/page_pdf_images/15400025/c599e748-a31a-11ed-bff8-0e1ba86a8db4/x_large
